"ID","Number","Flex_LL","Flex_UL","SW_LL","SW_UL","SW_Wt_LL","SW_Wt_UL","SW_Meas_Type","Freq_LL","Freq_UL","Freq_Std","Freq_BSL","Freq_Wt"
3399,"6QWR60B",133.0,145.0,10.0,10.001,61.0,67.0,Center of Gravity,247.0,253.0,80,158.75,201
3400,"7QWR50A",127.0,139.0,0.0,0.001,69.0,75.0,Inch Grams,,,80,,
3401,"7QWA50A",147.0,159.0,0.0,0.001,68.0,74.0,Inch Grams,,,80,,
3402,"7QWS50A",116.0,128.0,0.0,0.001,70.0,76.0,Inch Grams,,,80,,
3403,"7QWX50A",105.0,117.0,0.0,0.001,70.0,76.0,Inch Grams,,,80,,
3404,AS7QWA50AARA,147.0,159.0,0.0,0.001,70.0,78.0,Inch Grams,,,80,,
3405,AS7QWR50AARA,127.0,139.0,0.0,0.001,71.0,79.0,Inch Grams,,,80,,
3406,AS7QWS50AARA,116.0,128.0,0.0,0.001,72.0,80.0,Inch Grams,,,80,,
3407,AS7QWX50AARA,105.0,117.0,0.0,0.001,72.0,80.0,Inch Grams,,,80,,
3415,"6DWA60A",143.0,155.0,0.0,0.001,59.0,65.0,Inch Grams,,,80,,
3416,"6DWR60A",129.0,141.0,0.0,0.001,62.0,68.0,Inch Grams,247.0,253.0,80,158.75,201
3417,"6DWS60A",118.0,128.0,0.0,0.001,62.0,68.0,Inch Grams,262.0,268.0,80,158.75,201
3418,"6DWX60A",108.0,118.0,0.0,0.001,63.0,69.0,Inch Grams,277.0,283.0,80,158.75,201
3419,AS6DWA60AARA,143.0,155.0,0.0,0.001,61.0,69.0,Inch Grams,,,80,,
3420,AS6DWR60AARA,129.0,141.0,0.0,0.001,64.0,72.0,Inch Grams,247.0,253.0,80,158.75,201
3421,AS6DWS60AARA,118.0,128.0,0.0,0.001,64.0,72.0,Inch Grams,262.0,268.0,80,158.75,201
3422,AS6DWX60AARA,108.0,118.0,0.0,0.001,65.0,73.0,Inch Grams,277.0,283.0,80,158.75,201
3423,XDWL60A,133.0,147.0,9.3,11.3,58.0,64.0,Swing Weight Points,232.0,242.0,80,186.69,201
3424,XDWR60A,113.0,127.0,9.4,11.4,58.0,64.0,Swing Weight Points,248.0,258.0,80,186.69,201
3425,XDWF60A,103.0,117.0,9.5,11.5,59.5,65.5,Swing Weight Points,264.0,274.0,80,186.69,201
3426,X4IUL95B,53.0,67.0,4.4,6.4,44.0,49.5,Swing Weight Points,239.0,249.0,80,186.69,246
3427,CWX4IUL95BBAA,53.0,67.0,4.4,6.4,46.0,52.0,Swing Weight Points,239.0,249.0,80,186.69,246
