"PartID","ZMID","Diam_LL","Diam_UL","Min_Under","Max_Over"
9083,75,8.45,8.55,0.003,0.003
9083,43,8.45,8.55,0.003,0.003
9084,39,15.2,15.5,0.003,0.003
9084,388,15.3,15.6,0.003,0.003
9084,232,8.45,8.55,0.003,0.003
9084,75,8.45,8.55,0.003,0.003
9084,43,8.45,8.55,0.003,0.003
9085,39,15.25,15.55,0.003,0.003
9085,388,15.35,15.65,0.003,0.003
9085,232,8.45,8.55,0.003,0.003
9085,75,8.45,8.55,0.003,0.003
9085,43,8.45,8.55,0.003,0.003
9086,112,15.5,15.9,0.003,0.003
9086,233,8.5,8.7,0.003,0.003
7981,39,15.25,15.65,0.003,0.003
7981,232,9.04,9.14,0.003,0.003
7981,41,9.23,9.33,0.003,0.003
7982,39,15.25,15.65,0.003,0.003
7982,232,9.04,9.14,0.003,0.003
7982,41,9.23,9.33,0.003,0.003
7983,39,15.25,15.65,0.003,0.003
7983,232,9.04,9.14,0.003,0.003
7983,41,9.23,9.33,0.003,0.003
7984,39,15.25,15.65,0.003,0.003
7984,232,9.04,9.14,0.003,0.003
7984,41,9.23,9.33,0.003,0.003
7988,39,15.25,15.65,0.003,0.003
7988,232,9.04,9.14,0.003,0.003
7988,41,9.23,9.33,0.003,0.003
7985,39,15.4,15.8,0.003,0.003
7969,41,9.23,9.33,0.003,0.003
9086,103,8.5,8.7,0.003,0.003
9086,92,8.5,8.7,0.003,0.003
7985,232,9.04,9.14,0.003,0.003
2369,135,14.22,15.24,0.003,0.003
7864,39,14.95,15.35,0.003,0.003
7864,232,8.94,9.14,0.003,0.003
9969,136,14.4,14.8,0.003,0.003
7261,249,9.27,9.47,0.003,0.003
7261,232,8.89,9.14,0.003,0.003
7257,249,9.27,9.47,0.003,0.003
7257,232,8.89,9.14,0.003,0.003
9969,233,8.5,8.7,0.003,0.003
9969,329,8.5,8.7,0.003,0.003
9969,304,8.5,8.7,0.003,0.003
9970,136,14.45,14.85,0.003,0.003
9970,233,8.5,8.7,0.003,0.003
9970,329,8.5,8.7,0.003,0.003
9970,304,8.5,8.7,0.003,0.003
9971,136,14.65,15.05,0.003,0.003
9971,233,8.5,8.7,0.003,0.003
9971,280,8.5,8.7,0.003,0.003
9971,94,8.5,8.7,0.003,0.003
9972,136,14.7,15.1,0.003,0.003
10138,233,8.55,8.75,0.003,0.003
10138,103,8.55,8.75,0.003,0.003
10138,92,8.55,8.75,0.003,0.003
7864,41,9.17,9.37,0.003,0.003
9972,233,8.5,8.7,0.003,0.003
8974,39,15.0,15.4,0.003,0.003
8974,232,9.35,9.45,0.003,0.003
8974,18,9.35,9.45,0.003,0.003
8974,8,9.35,9.45,0.003,0.003
8975,39,15.1,15.5,0.003,0.003
8975,232,9.35,9.45,0.003,0.003
8975,18,9.35,9.45,0.003,0.003
8975,8,9.35,9.45,0.003,0.003
8972,39,14.7,15.1,0.003,0.003
8972,232,9.35,9.45,0.003,0.003
8972,18,9.35,9.45,0.003,0.003
8972,8,9.35,9.45,0.003,0.003
8973,39,14.8,15.2,0.003,0.003
8973,232,9.35,9.45,0.003,0.003
8973,18,9.35,9.45,0.003,0.003
8973,8,9.35,9.45,0.003,0.003
7034,112,14.74,15.24,0.003,0.003
7034,389,9.35,9.58,0.003,0.003
7034,105,9.35,9.58,0.003,0.003
7037,112,14.74,15.24,0.003,0.003
7037,389,9.35,9.58,0.003,0.003
7037,105,9.35,9.58,0.003,0.003
5055,41,9.19,9.35,0.003,0.003
5055,379,14.68,15.04,0.003,0.003
9972,280,8.5,8.7,0.003,0.003
9972,94,8.5,8.7,0.003,0.003
7928,126,14.89,15.29,0.003,0.003
7261,112,14.95,15.35,0.003,0.003
7931,112,14.8,15.2,0.003,0.003
7931,233,9.4,9.6,0.003,0.003
7931,315,9.4,9.6,0.003,0.003
7931,102,9.4,9.6,0.003,0.003
7875,39,14.85,15.25,0.003,0.003
7875,232,9.35,9.45,0.003,0.003
7875,314,9.35,9.45,0.003,0.003
7875,88,9.35,9.45,0.003,0.003
7928,121,14.46,14.86,0.003,0.003
7928,233,9.4,9.6,0.003,0.003
7928,304,9.4,9.6,0.003,0.003
7928,102,9.4,9.6,0.003,0.003
8004,112,14.99,15.49,0.003,0.003
8004,191,14.99,15.49,0.003,0.003
8004,233,9.4,9.6,0.003,0.003
8004,68,9.4,9.6,0.003,0.003
8004,217,9.4,9.6,0.003,0.003
8005,112,14.99,15.49,0.003,0.003
8005,191,14.99,15.49,0.003,0.003
8005,233,9.4,9.6,0.003,0.003
8005,68,9.4,9.6,0.003,0.003
8005,217,9.4,9.6,0.003,0.003
8006,39,14.5,14.9,0.003,0.003
